School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
STEWARTVILLE PUBLIC SCHOOL DISTRICT	N	534	18.3	25.1	1000-2999	49.3	27.80%	Fountas & Pinnell	Explode the Code- decoding ● Kansas Learning Strategieswriting and reading ● Leveled literacy/Leveled reading ● Benchmark Literacy leveled reading ● Reading Strategies (MN Reading Corps) ● Letter/Sound Correspondence ● Phoneme Blending ● Phoneme Segmenting ● Blending Words ● Duet Reading ● Repeated Reading ● Pencil Tap ● Newscaster Reading ● Stop/Go ● Cloze reading ● Partner reading/PALS ● Sustained Silent Reading/DEAR ● Phonemic awareness instruction ● Language! ● PALS and K-PALS ● Reading Strategies Book ● Seeing Stars ● Moby Max ● A to Z Learning ● Read Theory ● Cars and Stars	FastBridge	Benchmark Assessment System	earlyReading, aReading, CBMreading	Information Not Available
South St. Paul Public School Dist	N	6	18.8	61.2	3000-3999	36.7	24.30%	International Baccaleurate	PRESS	FastBridge	NWEA-MAP	FastBridge, Oral Reading Record, PRESS, NWEA-MAP	Information Not Available
ST. CROIX PREPARATORY ACADEMY	Y	4120	13.9	11.5	1000-2999	82.3	69.60%	OrtonGillingham called RIGGS (K-3), SRA Imagine IT! (K-3), Core Knowledge Sequence, and differentiated instruction and guided reading (K-3	Information Not Available	Other		STEP	Information Not Available
STEAM Academy Charter School	Y	4270	7	>90	<1000		4.20%	Into Reading	After school tutoring with teachers Weekend tutoring with teachers Moby Max online work Referral to the problem-solving team to discuss pre-special education referral interventions Depending on intervention outcomes, possible special education referral.	AIMSweb	NWEA-MAP	District screen, Kindergarten: Self-made assessments in: Phonemic awareness, letter naming, and letter sound correspondence. AIMSweb assessments in: Letter naming fluency, letter sound fluency, oral reading fluency.  District screen, Grade 1: Self-made assessments in: Concepts of print, high frequency / site words, vocabulary, comprehension, teacher running record of student’s fluency and comprehension quizzes. AIMSweb assessments in: Oral reading fluency  District screen, Grade 2: Self-made assessments in: Oral language development, high frequency / site words. Assessments for each ELA standard, given and monitored by the teacher. Journeys assessments in: Phonics / decoding, vocabulary, comprehension. AIMSweb assessments in: Oral reading fluency, vocabulary and reading comprehension.  District screen, Grade 3: Self-made assessments in: Phonemic awareness, letter sound correspondence, high frequency / site words, vocabulary. NWEA assessment in: Oral reading fluency and reading comprehension	MAP reading fluency
Stillwater Area Public Schools	N	834	17.3	22.6	5000-9999	58.8	32.30%	Heggerty Phonemic Awareness: K – 1 Letterland: PreK – Grade 2 Words Their Way: Grades 3 – 5 Fountas & Pinnell Classroom: PreK Units of Study for Teaching Reading: grades K – 5	PRESS, FastBridge, and Letterland targeted intervention activities, Orton-Gillingham	FastBridge	Benchmark Assessment System	FastBridge Curriculum-Based Measurement (CBM), FastBridge earlyReading, and FastBridge Computer Adaptive Tests (CAT) aReading, Benchmark Assessment System (BAS)	FastBridge Curriculum-Based Measurement (CBM), FastBridge earlyReading
ST. JAMES PUBLIC SCHOOL DISTRICT	N	840	15.8	63.2	1000-2999	46.4	31.40%	Wonders	Pathways to Reading Excellence in School Sites (PRESS), FastBridge Learning, Intervention Central, Orton-Gillingham	FastBridge		FastBridge benchmarking	FastBridge benchmarking
St. Michael-Albertville Schools	N	885	13	19.4	5000-9999	64.1	49.30%	Guiding Readers and Kinder Phonics: Kindergarten Benchmark Literacy: grades 1-4 Differentiated Instruction & Guided Reading: grades K-4 Calvert Learning: grade K-4 (STMA Online only)	Researched based interventions for the targeted skill Additional time to reinforce classroom skills Minnesota Reading Corps tutoring Reading Response instruction	FastBridge		aReading, earlyReading, CBM-R	FastBridge Progress Monitoring
Stonebridge World School	Y	4169	11.8	83.4	<1000		15.40%	Information Not Available	Information Not Available	NWEA-MAP	Benchmark Assessment System	NWEA-MAP, Fountas & Pinnell Benchmark Assessment System	Information Not Available
ST. PETER PUBLIC SCHOOL DISTRICT	N	508	19.7	44.6	1000-2999	50.8	30.70%	Information Not Available	Orton-Gillingham (Recipe for Reading), Fountas & Pinnell Classroom, Heggerty, Literacy Resources, Inc (Phonemic Awareness), PRESS Phonics Interventions, Lexia Core 5	FastBridge	Benchmark Assessment System	aReading, earlyReading, CBM-R, Fountas & Pinnell Benchmark Assessment System	FastBridge progress monitoring tools?
Success Academy	Y	4232	3.1	>90	<1000	33.6	29.00%	Daily 5 plan Journeys Curriculum	After school tutoring with teachers Weekend tutoring with teachers Reading Corp support Interventionist work (St. Cloud campus) Moby Max online work Referral to the problem-solving team to discuss pre-special education referral interventions Depending on intervention outcomes, possible special education referral	AIMSweb	NWEA-MAP	Information Not Available	Information Not Available
Twin Cities German Immersion Chtr	Y	4152	11.9	10.1	<1000		50.00%	Information Not Available	Information Not Available	FastBridge		FastBridge early Reading composite scores Locally developed phonics and reading fluency measures (Curriculum-based measures) Survey about reading background	Locally developed phonics and reading fluency measures (Curriculum-based measures) Unit Tests Quizzes Reading Conferencing
TEAM ACADEMY	Y	4127	21.6	77.5	<1000	30	29.00%	Reading Street	Information Not Available	AIMSweb		Information Not Available	Information Not Available
BEST ACADEMY	Y	4192	10.2	>90	<1000	30.7	28.90%	Journeys, Reading Mastery	Leveled Literacy Intervention	DIBELS	Benchmark Assessment System	DIBELS Next, Fountas & Pinnell Benchmark Assessment System, and NWEA-MAP	Fountas & Pinnell Benchmark Assessment System
The Journey School	Y	4258	16.2	83.1	<1000	16.1	4.40%	Journeys	Information Not Available	AIMSweb	NWEA-MAP	AIMSweb and NWEA-MAP	Information Not Available
THIEF RIVER FALLS SCHOOL DISTRICT	N	564	18.7	37.2	1000-2999	48.3	35.00%	Fountas & Pinnell Classroom	PRESS, Reading Recovery, Read Live	FastBridge	Benchmark Assessment System	FastBridgeBridge earlyReading, FastBridge CBM-R, FastBridge aReading, Fountas & Pinnell Benchmark Assessment System	Information Not Available
TRITON SCHOOL DISTRICT	N	2125	21.7	43.6	<1000	41.8	34.30%	Reading Street	PRESS, Read Naturally	FastBridge		FastBridge Letter Naming Fluency (LNF), Letter Sound Fluency (LSF), Phonemic Segmentation Fluency (PSF), Nonsense Word Fluency (NWF), and Reading Curriculum Based Measurement (RCBM)	Information Not Available
Universal Academy Charter School	Y	4225	4	>90	<1000	42.7	40.00%	Wonders, Reading Street	Information Not Available	NWEA-MAP		NWEA-MAP	Information Not Available
ULEN-HITTERDAL PUBLIC SCHOOL DIST	N	914	13.8	44.9	<1000	53.3	31.80%	Information Not Available	Star Enterprise, Florida Center for Reading, and PRESS	Star		Star Early Literacy, Star CBM	Information Not Available
UPSALA PUBLIC SCHOOL DISTRICT	N	487	14.5	32.6	<1000		34.00%	Information Not Available	Information Not Available	Star	NWEA-MAP	Information Not Available	Information Not Available
Urban Academy	Y	4088	11.2	>90	<1000	28.9	28.40%	MYON, Learning A to Z, Fountas & Pinnell Guided Reading, Pebble Go, NewsELA, Readworks.org, Mystery Science and Brainpop	Leveled Literacy Intervention	NWEA-MAP	Benchmark Assessment System	Fountas & Pinnell Benchmark Assessment System, NWEA-MAP	Information Not Available
Wabasha-Kellogg School District	N	811	17.5	44	<1000	49	28.40%	Wonders	Information Not Available	FastBridge		FastBridge earlyReading, aReading, CBM-R, AUTOreading	Information Not Available
WARROAD PUBLIC SCHOOL DISTRICT	N	690	22.5	40.7	1000-2999	56.6	39.00%	Scott Foresman (2004) curriculum, MONDO Bookshop resources, Achieve 3000 Literacy, Learning A-Z	Leveled Literacy Intervention	AIMSweb	Other	AIMSweb: Early Literacy, Oral Reading Fluency, and Reading Skills, ESGI: Letter Naming, Letter Sounds, Sight Words, Rhyming, Word Naming	Information Not Available
WASECA PUBLIC SCHOOL DISTRICT	N	829	18.6	45.8	1000-2999	43.8	29.10%	Engaging Readers, Heggerty Phonics, and From Phonics	PRESS reading intervention / PALS / Great Leaps / Rewards / 6 Minute Solution / Soar to Success / Early Success / Read Naturally / Earobics / LiPS / Incremental Rehearsal	FastBridge		Information Not Available	FastBridge Next
