School Name	Charter (Y/N)	District #	SpEd (%)	Free & Reduced Lunch (%)	District Enrollment	MCA Reading Proficiency %	MCA Reading proficiency % for F&R	Tier 1 Reading Curriculum Used	Tier 2 Reading Interventions Materials	Screening Vendor 1	Screening Vendor 2	Screening measures	Progress Monitoring Measures
ROTHSAY PUBLIC SCHOOL DISTRICT	N	850	13.7	41.7	<1000	56.3	52.80%	Houghton Mifflin-Journey’s	PALS, PRESS, Reading Eggs, Read Naturally, SOAR, Words their way	FastBridge	Star	FAST earlyReading, CBM-R, aReading, Accelarated Reader STAR assessment	FAST earlyReading, CBM-R, aReading
Rock Ridge Public Schools	N	2909	16.2	41.2	1000-2999		42.60%	Information Not Available	Information Not Available	Star		STAR early literacy and Reading	Information Not Available
SciTech Academy Charter School	Y	4261	3.4	88.9	<1000	7.6	7.10%	Wonders	Information Not Available	FastBridge		FAST earlyreading, aReading, CBM-R	Information Not Available
Swan River Montessori Charter Sch	Y	4137	18.3	22	<1000	59.3	N/A	Montessori Curriculum	Information Not Available	FastBridge	Benchmark Assessment System	FastBridge earlyreading, aReading, CBM-R, , F & P BAS, Fry Words, Read/Write/Spell Program	FastBridge earlyreading, aReading, CBM-R, , F & P BAS, Fry Words, Read/Write/Spell Program
Seven Hills Preparatory Academy	Y	4159	10.5	38.6	1000-2999	66.6	55.20%	Scholastic Guided Reading Program, Shurley Grammar grades 1-3, Words Their Way- K-5, Daily 5- grades K-5	Information Not Available	Benchmark Assessment System	Other	Fountas and Pinnell Benchmark Assessment System, Fry Sight Words,	Information Not Available
BECKER PUBLIC SCHOOL DISTRICT	N	726	17.6	25.8	1000-2999	58.6	44.00%	HMH Journeys	Information Not Available	FastBridge		FAST earlyreading, CBM-R, aReading	FAST earlyreading, CBM-R, Grade level common assessments
Little Falls Community Schools	N	482	22.2	50	1000-2999	37.6	27.60%	Guided Reading, Heggerty - Phonological and Phonemic Awareness Curriculum, and Daily Five	Information Not Available	AIMSweb	Benchmark Assessment System	AIMSweb earlyreading, ORF, comprehension, vocabulary, BAS	AIMSweb early literacy and ORF
ORONO PUBLIC SCHOOL DISTRICT	N	278	14	10.6	1000-2999	73.2	35.80%	F & P Guided Reading, Sonday, Units of Study	Information Not Available	Benchmark Assessment System	NWEA-MAP	NWEA-MAP, F & P BAS, CBMs, LETRS Phonics and Words Survey	CBMs, BAS - early literacy concepts, phonological awareness, comprehension, vocabulary, fluency
ASHBY PUBLIC SCHOOL DISTRICT	N	261	18.3	37	<1000	55	48.60%	myView Literacy from Pearson	LLI	AIMSweb	Star	AIMsweb Plus early literacy and ORF assessments, STAR Reading, F & P BAS	AIMsweb Plus early literacy and ORF assessments, STAR Reading, F & P BAS
CLIMAX-SHELLY PUBLIC SCHOOLS	N	592	19	60.8	<1000	41.4	38.70%	Journey HMH, Daily 5	LLI, PRESS, IXL, Daily 5, Guided Reading	AIMSweb	Star	AIMSweb early literacy, CBMs and STAR Reading	AIMSweb early literacy, CBMs and STAR Reading
